nuclides      air         ground      inhaled    thyroid    lamta(1/h)    Vg(m/s)
Cs-129      1.24E-14    2.79E-16    4.29E-11    2.60E-11    2.16E-02    1.50E-03
Cs-130      2.45E-14    5.12E-16    8.07E-12    9.28E-13    1.39E+00    1.50E-03
Cs-131      3.28E-16    2.39E-17    4.50E-11    3.00E-11    2.98E-03    1.50E-03
Cs-132      3.34E-14    6.93E-16    3.32E-10    2.73E-10    4.46E-03    1.50E-03
Cs-134      7.57E-14    1.52E-15    1.25E-08    1.11E-08    3.84E-05    1.50E-03
Cs-134m     9.05E-16    2.59E-17    1.18E-11    3.34E-12    2.39E-01    1.50E-03
Cs-135      5.65E-19    3.33E-20    1.23E-09    1.20E-09    3.44E-11    1.50E-03
Cs-135m     7.76E-14    1.54E-15    6.68E-12    3.00E-12    7.85E-01    1.50E-03
Cs-136      1.06E-13    2.09E-15    1.98E-09    1.73E-09    2.20E-03    1.50E-03
Cs-137      2.73E-14    5.55E-16    8.63E-09    7.93E-09    2.64E-06    1.50E-03
Cs-138      1.21E-13    2.19E-15    2.74E-11    3.57E-12    1.29E+00    1.50E-03
Cu-60       1.98E-13    3.63E-15    1.56E-11    1.45E-12    1.79E+00    1.50E-03
Cu-61       3.99E-14    8.15E-16    5.06E-11    3.73E-12    2.03E-01    1.50E-03
Cu-62       4.86E-14    1.00E-15    0.00E+00    0.00E+00    4.27E+00    1.50E-03
Cu-64       9.10E-15    1.87E-16    7.48E-11    4.98E-12    5.46E-02    1.50E-03
Cu-66       4.46E-15    8.78E-17    0.00E+00    0.00E+00    8.15E+00    1.50E-03
Cu-67       5.41E-15    1.11E-16    3.32E-10    2.60E-11    1.12E-02    1.50E-03
Dy-155      2.77E-14    5.60E-16    6.00E-11    5.32E-12    6.93E-02    1.50E-03
Dy-157      1.63E-14    3.51E-16    2.16E-11    2.24E-12    8.56E-02    1.50E-03
Dy-159      1.25E-15    4.65E-17    6.56E-10    3.12E-11    2.00E-04    1.50E-03
Dy-165      1.20E-15    2.69E-17    3.62E-11    5.45E-14    2.97E-01    1.50E-03
Dy-166      1.40E-15    4.01E-17    2.02E-09    2.68E-12    8.49E-03    1.50E-03
Er-161      4.42E-14    8.83E-16    2.45E-11    3.70E-12    2.14E-01    1.50E-03
Er-165      1.11E-15    3.84E-17    8.08E-12    2.94E-13    6.69E-02    1.50E-03
Er-169      1.74E-18    8.10E-20    5.64E-10    2.81E-12    3.11E-03    1.50E-03
Er-171      1.78E-14    3.73E-16    1.52E-10    3.96E-12    9.22E-02    1.50E-03
Er-172      2.47E-14    5.15E-16    1.11E-09    3.76E-11    1.41E-02    1.50E-03
Es-250      1.90E-14    3.78E-16    1.30E-09    1.12E-12    3.30E-01    1.50E-03
Es-251      4.13E-15    9.09E-17    1.28E-09    5.28E-12    2.10E-02    1.50E-03
Es-253      1.83E-17    8.18E-19    1.07E-06    7.83E-10    1.41E-03    1.50E-03
Es-254      1.93E-16    1.27E-17    1.11E-05    2.44E-09    1.05E-04    1.50E-03
Es-254m     2.25E-14    4.60E-16    1.51E-07    4.50E-10    1.76E-02    1.50E-03
Eu-145      7.22E-14    1.38E-15    7.41E-10    1.19E-10    4.86E-03    1.50E-03
